0	0	4.0
1	1	3.0
2	2	3.0
3	2	1.0
3	3	12.0
4	4	10.0
5	5	3.0
6	6	7.0
7	6	2.0
7	7	5.0
8	8	8.0
9	9	4.0
10	10	5.0
11	11	5.0
12	12	4.0
13	13	13.0
14	14	6.0
15	14	1.0
15	15	25.0
16	16	10.0
17	17	5.0
18	18	29.0
19	19	11.0
20	19	6.0
20	20	10.0
21	21	4.0
22	22	18.0
23	23	4.0
24	24	3.0
25	24	3.0
25	25	4.0
26	26	5.0
27	27	13.0
28	27	6.0
28	28	6.0
29	29	7.0
30	30	22.0
31	31	4.0
32	32	3.0
33	1	2.0
33	33	16.0
34	34	4.0
35	35	5.0
36	36	24.0
37	36	1.0
37	37	6.0
38	38	17.0
39	39	14.0
40	40	5.0
41	41	4.0
42	42	27.0
43	43	6.0
44	8	3.0
44	44	4.0
45	8	2.0
45	44	2.0
45	45	5.0
46	8	1.0
46	44	2.0
46	45	1.0
46	46	19.0
47	47	6.0
48	48	3.0
49	49	8.0
50	50	4.0
51	50	2.0
51	51	3.0
52	47	2.0
52	50	3.0
52	51	2.0
52	52	16.0
53	53	3.0
54	30	1.0
54	53	1.0
54	54	5.0
55	55	5.0
56	56	5.0
57	57	4.0
58	58	18.0
59	59	11.0
60	60	5.0
61	61	7.0
62	62	6.0
63	63	4.0
64	64	6.0
65	65	3.0
66	66	5.0
67	67	8.0
68	68	6.0
69	68	1.0
69	69	4.0
70	70	13.0
71	70	1.0
71	71	4.0
72	72	4.0
73	73	3.0
74	74	4.0
75	75	8.0
76	22	1.0
76	76	5.0
77	77	14.0
78	78	4.0
79	79	4.0
80	80	8.0
81	81	5.0
82	82	3.0
83	46	2.0
83	83	3.0
84	84	4.0
85	85	9.0
86	86	7.0
87	87	14.0
88	88	4.0
89	88	3.0
89	89	4.0
90	90	7.0
91	91	7.0
92	92	4.0
93	93	5.0
94	94	35.0
95	95	5.0
96	96	6.0
97	97	20.0
98	98	4.0
99	99	4.0
100	100	10.0
101	15	3.0
101	101	3.0
102	97	4.0
102	102	30.0
103	19	7.0
103	20	6.0
103	103	24.0
104	103	3.0
104	104	5.0
105	105	7.0
106	106	6.0
107	107	5.0
108	108	3.0
109	109	4.0
110	15	8.0
110	110	10.0
111	111	4.0
112	112	3.0
113	113	4.0
114	114	6.0
115	115	7.0
116	116	9.0
117	116	2.0
117	117	11.0
118	118	5.0
119	119	5.0
120	120	38.0
121	121	4.0
122	121	3.0
122	122	7.0
123	123	6.0
124	124	6.0
125	125	11.0
126	125	1.0
126	126	6.0
127	127	6.0
128	128	22.0
129	0	1.0
129	129	4.0
130	130	5.0
131	131	4.0
132	132	4.0
133	133	5.0
134	134	4.0
135	36	2.0
135	37	3.0
135	135	23.0
136	67	1.0
136	136	5.0
137	137	5.0
138	138	6.0
139	139	4.0
140	140	15.0
141	141	4.0
142	142	3.0
143	143	8.0
144	144	12.0
145	144	2.0
145	145	4.0
146	69	3.0
